case_id,radar_site,scan_time_utc,s3_bucket,s3_key,s3_uri,local_path,filename,downloaded,file_size_bytes,download_error
k7uaz_20260322,KEMX,2026-03-22T18:49:37Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_184937_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_184937_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_184937_V06,KEMX20260322_184937_V06,True,6492920,
k7uaz_20260322,KEMX,2026-03-22T18:56:42Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_185642_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_185642_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_185642_V06,KEMX20260322_185642_V06,True,6464431,
k7uaz_20260322,KEMX,2026-03-22T19:03:48Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_190348_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_190348_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_190348_V06,KEMX20260322_190348_V06,True,6431710,
k7uaz_20260322,KEMX,2026-03-22T19:10:53Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_191053_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_191053_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_191053_V06,KEMX20260322_191053_V06,True,6397360,
k7uaz_20260322,KEMX,2026-03-22T19:17:58Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_191758_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_191758_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_191758_V06,KEMX20260322_191758_V06,True,6352988,
k7uaz_20260322,KEMX,2026-03-22T19:25:04Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_192504_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_192504_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_192504_V06,KEMX20260322_192504_V06,True,6309851,
k7uaz_20260322,KEMX,2026-03-22T19:32:08Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_193208_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_193208_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_193208_V06,KEMX20260322_193208_V06,True,6241328,
k7uaz_20260322,KEMX,2026-03-22T19:39:14Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_193914_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_193914_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_193914_V06,KEMX20260322_193914_V06,True,6179889,
k7uaz_20260322,KEMX,2026-03-22T19:46:20Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_194620_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_194620_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_194620_V06,KEMX20260322_194620_V06,True,6102255,
k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_195325_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_195325_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_195325_V06,KEMX20260322_195325_V06,True,6029811,
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_200031_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_200031_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_200031_V06,KEMX20260322_200031_V06,True,5962837,
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_200736_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_200736_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_200736_V06,KEMX20260322_200736_V06,True,5876584,
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_201442_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_201442_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_201442_V06,KEMX20260322_201442_V06,True,5821836,
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_202135_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_202135_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_202135_V06,KEMX20260322_202135_V06,True,5750503,
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_202840_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_202840_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_202840_V06,KEMX20260322_202840_V06,True,5705769,
k7uaz_20260322,KEMX,2026-03-22T20:35:45Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_203545_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_203545_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_203545_V06,KEMX20260322_203545_V06,True,5670004,
k7uaz_20260322,KEMX,2026-03-22T20:42:51Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_204251_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_204251_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_204251_V06,KEMX20260322_204251_V06,True,5639843,
k7uaz_20260322,KEMX,2026-03-22T20:49:55Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_204955_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_204955_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_204955_V06,KEMX20260322_204955_V06,True,5622702,
k7uaz_20260322,KEMX,2026-03-22T20:57:01Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_205701_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_205701_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_205701_V06,KEMX20260322_205701_V06,True,5598127,
k7uaz_20260322,KEMX,2026-03-22T21:04:07Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_210407_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_210407_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_210407_V06,KEMX20260322_210407_V06,True,5593954,
k7uaz_20260322,KEMX,2026-03-22T21:11:05Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_211105_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_211105_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_211105_V06,KEMX20260322_211105_V06,True,5573952,
k7uaz_20260322,KEMX,2026-03-22T21:18:05Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_211805_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_211805_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_211805_V06,KEMX20260322_211805_V06,True,5548690,
k7uaz_20260322,KEMX,2026-03-22T21:25:04Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_212504_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_212504_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_212504_V06,KEMX20260322_212504_V06,True,5505995,
k7uaz_20260322,KEMX,2026-03-22T21:31:58Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_213158_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_213158_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_213158_V06,KEMX20260322_213158_V06,True,5485122,
k7uaz_20260322,KEMX,2026-03-22T21:38:52Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_213852_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_213852_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_213852_V06,KEMX20260322_213852_V06,True,5448507,
k7uaz_20260322,KEMX,2026-03-22T21:45:50Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_214550_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_214550_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_214550_V06,KEMX20260322_214550_V06,True,5425545,
k7uaz_20260322,KEMX,2026-03-22T21:52:49Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_215249_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_215249_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_215249_V06,KEMX20260322_215249_V06,True,5418641,
k7uaz_20260322,KEMX,2026-03-22T21:59:43Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_215943_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_215943_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_215943_V06,KEMX20260322_215943_V06,True,5402641,
k7uaz_20260322,KEMX,2026-03-22T22:06:36Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_220636_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_220636_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_220636_V06,KEMX20260322_220636_V06,True,5383447,
k7uaz_20260322,KEMX,2026-03-22T22:13:30Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_221330_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_221330_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_221330_V06,KEMX20260322_221330_V06,True,5351877,
k7uaz_20260322,KEMX,2026-03-22T22:20:24Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_222024_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_222024_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_222024_V06,KEMX20260322_222024_V06,True,5315203,
k7uaz_20260322,KEMX,2026-03-22T22:27:18Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_222718_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_222718_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_222718_V06,KEMX20260322_222718_V06,True,5265464,
k7uaz_20260322,KEMX,2026-03-22T22:34:11Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_223411_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_223411_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_223411_V06,KEMX20260322_223411_V06,True,5228874,
k7uaz_20260322,KEMX,2026-03-22T22:41:05Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_224105_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_224105_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_224105_V06,KEMX20260322_224105_V06,True,5186455,
k7uaz_20260322,KEMX,2026-03-22T22:47:59Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_224759_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_224759_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_224759_V06,KEMX20260322_224759_V06,True,5159182,
k7uaz_20260322,KEMX,2026-03-22T22:54:53Z,unidata-nexrad-level2,2026/03/22/KEMX/KEMX20260322_225453_V06,s3://unidata-nexrad-level2/2026/03/22/KEMX/KEMX20260322_225453_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_225453_V06,KEMX20260322_225453_V06,True,5111829,
