association_id,radar_sites,tracklet_ids,n_radars,time_overlap_min,n_overlap_samples,median_altitude_difference_m,median_horizontal_difference_km,mean_telemetry_consistency_score,cross_radar_score,association_label,notes
A001,KEMX;KIWA,KEMX_T004;KIWA_T001,2,8.8,4,143.8,9.83,0.8356,0.8597,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=144m"
A002,KEMX;KIWA,KEMX_T004;KIWA_T002,2,8.8,4,143.8,9.83,0.8222,0.8571,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=144m"
A003,KEMX;KIWA,KEMX_T004;KIWA_T003,2,8.8,4,171.4,9.76,0.8335,0.8543,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=171m"
A004,KEMX;KIWA,KEMX_T004;KIWA_T009,2,8.8,4,171.4,9.76,0.8201,0.8517,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=171m"
A005,KEMX;KIWA,KEMX_T004;KIWA_T005,2,8.8,4,170.5,10.21,0.8205,0.8483,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=10.2km, med_v=170m"
A006,KEMX;KIWA,KEMX_T004;KIWA_T006,2,8.8,4,223.8,10.59,0.832,0.8369,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=10.6km, med_v=224m"
A007,KEMX;KIWA,KEMX_T003;KIWA_T001,2,8.8,4,91.8,15.05,0.8036,0.822,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A008,KEMX;KIWA,KEMX_T003;KIWA_T003,2,8.8,4,119.4,14.32,0.8015,0.8219,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A009,KEMX;KIWA,KEMX_T008;KIWA_T001,2,8.8,4,91.8,15.05,0.7993,0.8211,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A010,KEMX;KIWA,KEMX_T008;KIWA_T003,2,8.8,4,119.4,14.32,0.7972,0.821,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A011,KEMX;KIWA,KEMX_T005;KIWA_T001,2,8.8,4,192.6,12.67,0.8044,0.821,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=12.7km, med_v=193m"
A012,KEMX;KIWA,KEMX_T004;KIWA_T007,2,23.1,7,86.7,15.88,0.8198,0.8195,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=15.9km, med_v=87m"
A013,KEMX;KIWA,KEMX_T003;KIWA_T002,2,8.8,4,91.8,15.05,0.7903,0.8193,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A014,KEMX;KIWA,KEMX_T003;KIWA_T009,2,8.8,4,119.4,14.32,0.7883,0.8192,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A015,KEMX;KIWA,KEMX_T008;KIWA_T002,2,8.8,4,91.8,15.05,0.786,0.8184,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A016,KEMX;KIWA,KEMX_T005;KIWA_T002,2,8.8,4,192.6,12.67,0.7912,0.8184,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=12.7km, med_v=193m"
A017,KEMX;KIWA,KEMX_T008;KIWA_T009,2,8.8,4,119.4,14.32,0.7839,0.8183,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A018,KEMX;KIWA,KEMX_T004;KIWA_T010,2,23.1,7,86.7,15.88,0.8131,0.8182,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=15.9km, med_v=87m"
A019,KEMX;KIWA,KEMX_T004;KIWA_T008,2,23.1,7,86.7,15.88,0.8099,0.8176,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=15.9km, med_v=87m"
A020,KEMX;KIWA,KEMX_T010;KIWA_T003,2,8.8,4,119.4,14.02,0.7678,0.8175,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.0km, med_v=119m"
A021,KEMX;KIWA,KEMX_T010;KIWA_T001,2,8.8,4,91.8,15.0,0.77,0.8156,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.0km, med_v=92m"
A022,KEMX;KIWA,KEMX_T003;KIWA_T005,2,8.8,4,118.5,14.86,0.7886,0.8152,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.9km, med_v=118m"
A023,KEMX;KIWA,KEMX_T005;KIWA_T003,2,8.8,4,220.2,12.65,0.8023,0.8152,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=12.6km, med_v=220m"
A024,KEMX;KIWA,KEMX_T010;KIWA_T009,2,8.8,4,119.4,14.02,0.7546,0.8149,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.0km, med_v=119m"
A025,KEMX;KIWA,KEMX_T008;KIWA_T005,2,8.8,4,118.5,14.86,0.7842,0.8143,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.9km, med_v=118m"
A026,KEMX;KIWA,KEMX_T010;KIWA_T002,2,8.8,4,91.8,15.0,0.7567,0.813,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.0km, med_v=92m"
A027,KEMX;KIWA,KEMX_T005;KIWA_T009,2,8.8,4,220.2,12.65,0.7891,0.8126,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=12.6km, med_v=220m"
A028,KEMX;KIWA,KEMX_T010;KIWA_T004,2,30.1,8,85.9,14.74,0.7335,0.8116,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=14.7km, med_v=86m"
A029,KEMX;KIWA,KEMX_T010;KIWA_T005,2,8.8,4,118.5,14.55,0.7549,0.8108,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.6km, med_v=118m"
A030,KEMX;KIWA,KEMX_T005;KIWA_T005,2,8.8,4,219.2,13.14,0.7893,0.8089,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=13.1km, med_v=219m"
A031,KEMX;KIWA,KEMX_T007;KIWA_T003,2,8.8,4,113.3,17.05,0.8267,0.8063,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.0km, med_v=113m"
A032,KEMX;KIWA,KEMX_T003;KIWA_T006,2,8.8,4,175.2,14.86,0.8001,0.8061,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.9km, med_v=175m"
A033,KEMX;KIWA,KEMX_T004;KIWA_T004,2,30.1,8,66.7,17.57,0.7991,0.806,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=17.6km, med_v=67m"
A034,KEMX;KIWA,KEMX_T008;KIWA_T006,2,8.8,4,175.2,14.86,0.7957,0.8053,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.9km, med_v=175m"
A035,KEMX;KIWA,KEMX_T009;KIWA_T001,2,8.8,4,181.7,14.98,0.8021,0.8042,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.0km, med_v=182m"
A036,KEMX;KIWA,KEMX_T007;KIWA_T009,2,8.8,4,113.3,17.05,0.8134,0.8036,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.0km, med_v=113m"
A037,KEMX;KIWA,KEMX_T007;KIWA_T001,2,8.8,4,147.8,16.63,0.8288,0.8032,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.6km, med_v=148m"
A038,KEMX;KIWA,KEMX_T010;KIWA_T006,2,8.8,4,175.2,14.55,0.7664,0.8018,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.6km, med_v=175m"
A039,KEMX;KIWA,KEMX_T009;KIWA_T002,2,8.8,4,181.7,14.98,0.7888,0.8016,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.0km, med_v=182m"
A040,KEMX;KIWA,KEMX_T001;KIWA_T003,2,8.8,4,99.3,17.61,0.8089,0.801,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.6km, med_v=99m"
A041,KEMX;KIWA,KEMX_T007;KIWA_T002,2,8.8,4,147.8,16.63,0.8155,0.8005,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.6km, med_v=148m"
A042,KEMX;KIWA,KEMX_T007;KIWA_T005,2,8.8,4,112.6,17.51,0.8137,0.8002,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.5km, med_v=113m"
A043,KEMX;KIWA,KEMX_T001;KIWA_T001,2,8.8,4,133.8,17.01,0.8111,0.7994,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.0km, med_v=134m"
A044,KEMX;KIWA,KEMX_T002;KIWA_T001,2,8.8,4,194.8,15.43,0.8049,0.7986,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.4km, med_v=195m"
A045,KEMX;KIWA,KEMX_T005;KIWA_T004,2,30.1,8,135.4,16.0,0.768,0.7985,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=16.0km, med_v=135m"
A046,KEMX;KIWA,KEMX_T001;KIWA_T009,2,8.8,4,99.3,17.61,0.7956,0.7984,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.6km, med_v=99m"
A047,KEMX;KIWA,KEMX_T003;KIWA_T004,2,30.1,8,161.0,15.54,0.7672,0.7969,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=15.5km, med_v=161m"
A048,KEMX;KIWA,KEMX_T001;KIWA_T002,2,8.8,4,133.8,17.01,0.7977,0.7967,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.0km, med_v=134m"
A049,KEMX;KIWA,KEMX_T005;KIWA_T006,2,8.8,4,275.9,13.56,0.8009,0.7965,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=13.6km, med_v=276m"
A050,KEMX;KIWA,KEMX_T002;KIWA_T002,2,8.8,4,194.8,15.43,0.7915,0.7959,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.4km, med_v=195m"
A051,KEMX;KIWA,KEMX_T005;KIWA_T007,2,23.1,7,222.9,14.78,0.7887,0.7949,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=14.8km, med_v=223m"
A052,KEMX;KIWA,KEMX_T001;KIWA_T005,2,8.8,4,98.6,18.08,0.7959,0.7948,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=18.1km, med_v=99m"
A053,KEMX;KIWA,KEMX_T008;KIWA_T004,2,30.1,8,161.0,15.77,0.7629,0.7942,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=15.8km, med_v=161m"
A054,KEMX;KIWA,KEMX_T003;KIWA_T008,2,23.1,7,152.0,16.44,0.778,0.7937,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.4km, med_v=152m"
A055,KEMX;KIWA,KEMX_T005;KIWA_T010,2,23.1,7,222.9,14.78,0.7819,0.7936,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=14.8km, med_v=223m"
A056,KEMX;KIWA,KEMX_T005;KIWA_T008,2,23.1,7,222.9,14.78,0.7788,0.793,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=14.8km, med_v=223m"
A057,KEMX;KIWA,KEMX_T008;KIWA_T008,2,23.1,7,152.0,16.44,0.7736,0.7928,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.4km, med_v=152m"
A058,KEMX;KIWA,KEMX_T009;KIWA_T008,2,23.1,7,211.8,15.24,0.7765,0.791,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=15.2km, med_v=212m"
A059,KEMX;KIWA,KEMX_T009;KIWA_T003,2,8.8,4,241.5,15.26,0.8,0.7896,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.3km, med_v=242m"
A060,KEMX;KIWA,KEMX_T007;KIWA_T006,2,8.8,4,160.5,17.92,0.8253,0.7896,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.9km, med_v=160m"
A061,KEMX;KIWA,KEMX_T003;KIWA_T010,2,23.1,7,150.5,17.28,0.7812,0.7879,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=151m"
A062,KEMX;KIWA,KEMX_T010;KIWA_T008,2,23.1,7,150.8,16.44,0.7443,0.7872,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.4km, med_v=151m"
A063,KEMX;KIWA,KEMX_T008;KIWA_T010,2,23.1,7,150.5,17.28,0.7768,0.787,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=151m"
A064,KEMX;KIWA,KEMX_T009;KIWA_T009,2,8.8,4,241.5,15.26,0.7867,0.7869,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.3km, med_v=242m"
A065,KEMX;KIWA,KEMX_T009;KIWA_T007,2,23.1,7,211.8,16.06,0.7863,0.7864,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.1km, med_v=212m"
A066,KEMX;KIWA,KEMX_T007;KIWA_T007,2,23.1,7,145.0,18.58,0.8131,0.785,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.6km, med_v=145m"
A067,KEMX;KIWA,KEMX_T009;KIWA_T010,2,23.1,7,211.8,16.07,0.7796,0.785,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.1km, med_v=212m"
A068,KEMX;KIWA,KEMX_T002;KIWA_T003,2,8.8,4,243.8,15.87,0.8027,0.7849,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.9km, med_v=244m"
A069,KEMX;KIWA,KEMX_T007;KIWA_T010,2,23.1,7,145.0,18.58,0.8063,0.7836,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.6km, med_v=145m"
A070,KEMX;KIWA,KEMX_T001;KIWA_T006,2,8.8,4,150.9,18.5,0.8075,0.7833,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=18.5km, med_v=151m"
A071,KEMX;KIWA,KEMX_T009;KIWA_T005,2,8.8,4,240.6,15.75,0.787,0.7833,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.8km, med_v=241m"
A072,KEMX;KIWA,KEMX_T007;KIWA_T008,2,23.1,7,145.0,18.58,0.8032,0.783,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.6km, med_v=145m"
A073,KEMX;KIWA,KEMX_T010;KIWA_T007,2,23.1,7,150.8,17.27,0.7542,0.7825,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=151m"
A074,KEMX;KIWA,KEMX_T002;KIWA_T009,2,8.8,4,243.8,15.87,0.7894,0.7822,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.9km, med_v=244m"
A075,KEMX;KIWA,KEMX_T009;KIWA_T006,2,8.8,4,245.8,16.07,0.7986,0.782,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.1km, med_v=246m"
A076,KEMX;KIWA,KEMX_T002;KIWA_T004,2,30.1,8,184.8,16.93,0.7684,0.7813,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=16.9km, med_v=185m"
A077,KEMX;KIWA,KEMX_T010;KIWA_T010,2,23.1,7,150.5,17.28,0.7474,0.7811,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=151m"
A078,KEMX;KIWA,KEMX_T006;KIWA_T001,2,8.8,4,233.0,16.94,0.8122,0.7803,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.9km, med_v=233m"
A079,KEMX;KIWA,KEMX_T002;KIWA_T008,2,23.1,7,222.9,16.44,0.7792,0.7797,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=16.4km, med_v=223m"
A080,KEMX;KIWA,KEMX_T002;KIWA_T005,2,8.8,4,243.5,16.33,0.7897,0.7786,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.3km, med_v=244m"
A081,KEMX;KIWA,KEMX_T006;KIWA_T002,2,8.8,4,233.0,16.94,0.7989,0.7776,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.9km, med_v=233m"
A082,KEMX;KIWA,KEMX_T001;KIWA_T010,2,23.1,7,150.5,18.89,0.7885,0.7764,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.9km, med_v=151m"
A083,KEMX;KIWA,KEMX_T008;KIWA_T007,2,23.1,7,211.8,17.27,0.7835,0.7762,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=212m"
A084,KEMX;KIWA,KEMX_T001;KIWA_T008,2,23.1,7,152.0,18.89,0.7854,0.7755,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.9km, med_v=152m"
A085,KEMX;KIWA,KEMX_T009;KIWA_T004,2,30.1,8,214.3,16.93,0.7656,0.7749,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=16.9km, med_v=214m"
A086,KEMX;KIWA,KEMX_T003;KIWA_T007,2,23.1,7,222.9,17.27,0.7879,0.7748,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=223m"
A087,KEMX;KIWA,KEMX_T002;KIWA_T006,2,8.8,4,278.2,16.33,0.8013,0.774,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.3km, med_v=278m"
A088,KEMX;KIWA,KEMX_T002;KIWA_T010,2,23.1,7,222.9,17.28,0.7823,0.7736,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=223m"
A089,KEMX;KIWA,KEMX_T002;KIWA_T007,2,23.1,7,239.5,17.27,0.7891,0.7718,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=240m"
A090,KEMX;KIWA,KEMX_T006;KIWA_T003,2,8.8,4,290.3,17.25,0.81,0.7659,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.3km, med_v=290m"
A091,KEMX;KIWA,KEMX_T006;KIWA_T005,2,8.8,4,290.1,17.19,0.7971,0.7638,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.2km, med_v=290m"
A092,KEMX;KIWA,KEMX_T001;KIWA_T007,2,23.1,7,222.9,18.89,0.7953,0.7633,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.9km, med_v=223m"
A093,KEMX;KIWA,KEMX_T006;KIWA_T009,2,8.8,4,290.3,17.25,0.7968,0.7632,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.3km, med_v=290m"
A094,KEMX;KIWA,KEMX_T001;KIWA_T004,2,30.1,8,175.0,19.78,0.7746,0.7617,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=19.8km, med_v=175m"
A095,KEMX;KIWA,KEMX_T006;KIWA_T006,2,8.8,4,316.3,17.24,0.8086,0.7606,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.2km, med_v=316m"
A096,KEMX;KIWA,KEMX_T006;KIWA_T004,2,30.1,8,174.0,20.61,0.7757,0.7554,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=20.6km, med_v=174m"
A097,KEMX;KIWA,KEMX_T007;KIWA_T004,2,30.1,8,172.8,21.63,0.7923,0.7509,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=21.6km, med_v=173m"
A098,KEMX;KIWA,KEMX_T006;KIWA_T007,2,23.1,7,164.5,22.02,0.7964,0.7502,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
A099,KEMX;KIWA,KEMX_T006;KIWA_T010,2,23.1,7,164.5,22.02,0.7896,0.7488,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
A100,KEMX;KIWA,KEMX_T006;KIWA_T008,2,23.1,7,164.5,22.02,0.7865,0.7482,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
