case_id,radar_site,tracklet_id,tracklet_rank,n_points,start_time_utc,end_time_utc,duration_min,median_abs_vertical_mismatch_m,max_abs_vertical_mismatch_m,median_segment_speed_kmh,max_segment_speed_kmh,mean_balloon_like_score,path_smoothness_score,altitude_consistency_score,telemetry_match_score,tracklet_score,tracklet_label,notes
k7uaz_20260322,KEMX,KEMX_T001,1,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,73.3,204.0,53.1,76.6,0.7329,0.7911,0.9411,0.817,1.2342,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.234"
k7uaz_20260322,KEMX,KEMX_T002,2,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,93.0,204.0,42.0,72.2,0.7226,0.8225,0.9351,0.8046,1.2334,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.233"
k7uaz_20260322,KEMX,KEMX_T003,3,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,28.6,204.0,38.7,74.0,0.7261,0.7538,0.951,0.8022,1.2312,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.231"
k7uaz_20260322,KEMX,KEMX_T004,4,7,2026-03-22T19:53:25Z,2026-03-22T20:49:55Z,56.5,46.2,464.5,44.8,106.4,0.7512,0.8712,0.9059,0.866,1.231,telemetry_consistent_candidate_tracklet,"Tracklet linking: 7 points, score=1.231"
k7uaz_20260322,KEMX,KEMX_T005,5,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,93.3,204.0,42.0,56.4,0.7242,0.7988,0.9356,0.8038,1.2287,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.229"
k7uaz_20260322,KEMX,KEMX_T006,6,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,88.5,239.0,53.1,80.7,0.7347,0.8397,0.9283,0.8192,1.2263,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.226"
k7uaz_20260322,KEMX,KEMX_T007,7,8,2026-03-22T19:53:25Z,2026-03-22T20:57:01Z,63.6,38.7,464.5,59.4,106.4,0.751,0.8176,0.9129,0.8525,1.2236,telemetry_consistent_candidate_tracklet,"Tracklet linking: 8 points, score=1.224"
k7uaz_20260322,KEMX,KEMX_T008,8,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,28.6,247.5,38.7,74.0,0.7157,0.7654,0.9462,0.7935,1.2234,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.223"
k7uaz_20260322,KEMX,KEMX_T009,9,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,112.8,247.5,42.0,72.2,0.7196,0.8056,0.9249,0.7991,1.223,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.223"
k7uaz_20260322,KEMX,KEMX_T010,10,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,63.8,211.5,65.6,74.0,0.7115,0.853,0.9421,0.7348,1.2225,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.223"
k7uaz_20260322,KIWA,KIWA_T001,1,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,510.5,29.9,127.0,0.771,0.7864,0.8653,0.8051,1.2211,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.221"
k7uaz_20260322,KIWA,KIWA_T002,2,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,453.0,64.1,127.0,0.7669,0.8658,0.8695,0.7785,1.2184,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.218"
k7uaz_20260322,KIWA,KIWA_T003,3,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,177.2,510.5,39.8,88.5,0.7661,0.7412,0.8617,0.8009,1.2151,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.215"
k7uaz_20260322,KIWA,KIWA_T004,4,7,2026-03-22T19:26:39Z,2026-03-22T20:23:34Z,56.9,78.2,334.8,44.8,109.5,0.7295,0.8685,0.9018,0.7322,1.2146,telemetry_consistent_candidate_tracklet,"Tracklet linking: 7 points, score=1.215"
k7uaz_20260322,KIWA,KIWA_T005,5,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,453.0,59.4,93.7,0.7628,0.819,0.8661,0.7749,1.2134,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.213"
k7uaz_20260322,KIWA,KIWA_T006,6,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,125.8,510.5,39.9,93.7,0.7575,0.7306,0.8743,0.798,1.2131,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.213"
k7uaz_20260322,KIWA,KIWA_T007,7,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,147.6,510.5,43.3,118.6,0.7508,0.7969,0.8809,0.7736,1.213,telemetry_consistent_candidate_tracklet,"Tracklet linking: 7 points, score=1.213"
k7uaz_20260322,KIWA,KIWA_T008,8,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,147.6,453.0,53.1,118.6,0.7553,0.8636,0.8739,0.7538,1.2127,telemetry_consistent_candidate_tracklet,"Tracklet linking: 7 points, score=1.213"
k7uaz_20260322,KIWA,KIWA_T009,9,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,177.2,453.0,64.1,88.5,0.7621,0.8206,0.8659,0.7743,1.2125,telemetry_consistent_candidate_tracklet,"Tracklet linking: 6 points, score=1.213"
k7uaz_20260322,KIWA,KIWA_T010,10,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,183.9,536.5,42.1,127.0,0.7515,0.8507,0.8604,0.7601,1.2109,telemetry_consistent_candidate_tracklet,"Tracklet linking: 7 points, score=1.211"
